Name: 四川卫视, URL: http://183.144.201.58:6868/udp/233.50.201.139:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://123.120.200.46:8888/rtp/239.3.1.133:8016, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://115.194.171.101:4022/udp/233.50.201.115:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.151:9120, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.151:9120, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://60.168.228.168:2000/rtp/238.1.78.159:7144, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://111.199.45.222:5555/rtp/239.3.1.133:8016, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://111.196.186.191:5555/rtp/239.3.1.132:8012, Date: None, Resolution: None, Response Time: 427 ms
Name: 湖南卫视, URL: http://123.120.200.46:8888/rtp/239.3.1.132:8012, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://115.194.171.101:4022/udp/233.50.201.103:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.143:9056, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.143:9056, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://60.168.228.168:2000/rtp/238.1.78.160:7152, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://111.199.45.222:5555/rtp/239.3.1.132:8012, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://183.144.201.58:6868/udp/233.50.201.103:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://111.196.186.191:5555/rtp/239.3.1.134:8020, Date: None, Resolution: None, Response Time: 440 ms
Name: 深圳卫视, URL: http://14.212.185.27:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 475 ms
Name: 深圳卫视, URL: http://123.120.200.46:8888/rtp/239.3.1.134:8020, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://115.194.171.101:4022/udp/233.50.201.101:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.147:9088, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.147:9088, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://60.168.228.168:2000/rtp/238.1.78.156:7120, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://111.199.45.222:5555/rtp/239.3.1.134:8020, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://183.144.201.58:6868/udp/233.50.200.188:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://183.144.201.58:6868/udp/233.50.201.101:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://111.196.186.191:5555/rtp/239.3.1.135:8028, Date: None, Resolution: None, Response Time: 430 ms
Name: 江苏卫视, URL: http://123.120.200.46:8888/rtp/239.3.1.135:8028, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://115.194.171.101:4022/udp/233.50.201.106:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.176:9320, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.176:9320, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://60.168.228.168:2000/rtp/238.1.78.165:7192, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://111.199.45.222:5555/rtp/239.3.1.135:8028, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://183.144.201.58:6868/udp/233.50.201.106:5140, Date: None, Resolution: None, Response Time: inf ms
