Name: 中央视频道, URL: #流派#, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV9, URL: http://220.175.145.235:9000/udp/239.252.220.186:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台12频道, URL: http://112.46.85.60:8009/hls/507/index.m3u8, Date: None, Resolution: None, Response Time: 851 ms
Name: 中央电视台12频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv12, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台12频道, URL: http://115.239.104.84:9999/udp/233.50.201.123:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台12频道, URL: http://61.52.29.182:13579/rtp/225.1.4.79:1108, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台12频道, URL: http://183.184.15.103:8003/rtp/226.0.2.164:9224, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台11频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv11, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台11频道, URL: http://61.52.29.182:13579/rtp/225.1.4.215:1268, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台10频道, URL: http://112.46.85.60:8009/hls/506/index.m3u8, Date: None, Resolution: None, Response Time: 1621 ms
Name: 中央电视台10频道, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv10, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台10频道, URL: http://115.239.104.84:9999/udp/233.50.201.122:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台10频道, URL: http://1.197.34.233:808/hls/10/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台10频道, URL: http://61.52.29.182:13579/rtp/225.1.4.78:1107, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台10频道, URL: http://183.184.15.103:8003/rtp/226.0.2.162:9208, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台9套, URL: http://112.46.85.60:8009/hls/509/index.m3u8, Date: None, Resolution: None, Response Time: 868 ms
Name: 中央电视台9套, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv9, Date: None, Resolution: None, Response Time: 5058 ms
Name: 中央电视台9套, URL: http://123.120.200.46:8888/rtp/239.3.1.62:8112中央电视台1套,http://112.46.85.60:8009/hls/501/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台9套, URL: http://61.52.29.182:13579/rtp/225.1.4.77:1106, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台9套, URL: http://183.184.15.103:8003/rtp/226.0.2.161:9200, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台8套, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv8, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台8套, URL: http://123.120.200.46:8888/rtp/239.3.1.175:8001, Date: None, Resolution: None, Response Time: inf ms
Name: 中央电视台8套, URL: http://183.184.15.103:8003/rtp/226.0.2.211:9600, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV8, URL: http://27.11.63.118:8002/udp/225.0.4.137:7980, Date: None, Resolution: None, Response Time: 945 ms
Name: CCTV8, URL: http://171.118.170.147:8084/rtp/226.0.2.211:9600, Date: None, Resolution: None, Response Time: 962 ms
Name: CCTV8, URL: http://27.11.63.118:8001/udp/225.0.4.137:7980, Date: None, Resolution: None, Response Time: 1260 ms
Name: CCTV8, URL: http://mdxgh.tpddns.cn:88/mdxgh/cctv8, Date: None, Resolution: None, Response Time: 13134 ms
Name: CCTV8, URL: http://101.200.122.188/tv/migu.php?id=cctv8$咪咕, Date: None, Resolution: None, Response Time: inf ms
