🔫｜浙江,#genre#
CETV早期教育,http://60.223.72.82:8004/rtp/226.0.2.99:8704
CCTV1,http://60.168.228.168:2000/rtp/238.1.78.166:7200
CCTV10,http://60.168.228.168:2000/rtp/238.1.78.241:7800
CCTV11,http://60.168.228.168:2000/rtp/238.1.78.206:7502
CCTV12,http://60.168.228.168:2000/rtp/238.1.78.242:7808
CCTV13,http://60.168.228.168:2000/rtp/238.1.79.35:4392
CCTV14,http://60.168.228.168:2000/rtp/238.1.78.243:7816
CCTV15,http://60.168.228.168:2000/rtp/238.1.78.222:7648
CCTV17,http://60.168.228.168:2000/rtp/238.1.78.178:7296
CCTV2,http://60.168.228.168:2000/rtp/238.1.78.235:7752
CCTV3,http://60.168.228.168:2000/rtp/238.1.78.170:7232
CCTV4,http://60.168.228.168:2000/rtp/238.1.78.236:7760
CCTV5,http://60.168.228.168:2000/rtp/238.1.78.171:7240
CCTV5,http://60.168.228.168:2000/rtp/238.1.78.237:7768
CCTV6,http://60.168.228.168:2000/rtp/238.1.78.172:7248
CCTV7,http://60.168.228.168:2000/rtp/238.1.78.239:7784
CCTV8,http://60.168.228.168:2000/rtp/238.1.78.173:7256
CCTV9,http://60.168.228.168:2000/rtp/238.1.78.240:7792
CCTV世界地理,http://60.168.228.168:2000/rtp/238.1.79.60:4616
CCTV兵器科技,http://60.168.228.168:2000/rtp/238.1.79.56:4584
CCTV央视台球,http://60.168.228.168:2000/rtp/238.1.79.59:4608
CCTV央视文化精品,http://60.168.228.168:2000/rtp/238.1.79.54:4568
CCTV女性时尚,http://60.168.228.168:2000/rtp/238.1.79.55:4576
CCTV怀旧剧场,http://60.168.228.168:2000/rtp/238.1.79.61:4624
CCTV电视指南,http://60.168.228.168:2000/rtp/238.1.79.53:4560
CCTV第一剧场,http://60.168.228.168:2000/rtp/238.1.79.63:4640
CCTV风云剧场,http://60.168.228.168:2000/rtp/238.1.79.62:4632
CCTV风云足球,http://60.168.228.168:2000/rtp/238.1.79.57:4592
CCTV风云音乐,http://60.168.228.168:2000/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://60.168.228.168:2000/rtp/238.1.79.58:4600
中国教育CETV,http://60.168.228.168:2000/rtp/238.1.78.158:7136
CCTV1,http://111.196.186.191:5555/rtp/239.3.1.129:8008
CCTV6,http://111.196.186.191:5555/rtp/239.3.1.174:8001
西班牙语,http://111.196.186.191:5555/rtp/239.3.1.217:4220
CCTV1,http://110.7.130.46:8096/tsfile/live/0001_1.m3u8
CCTV3,http://110.7.130.46:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.130.46:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.130.46:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.130.46:8096/tsfile/live/0006_1.m3u8
CCTV9,http://110.7.130.46:8096/tsfile/live/0009_1.m3u8
CCTV1,http://111.199.45.222:5555/rtp/239.3.1.129:8008
CCTV10,http://111.199.45.222:5555/rtp/239.3.1.63:8116
CCTV11,http://111.199.45.222:5555/rtp/239.3.1.152:8120
CCTV12,http://111.199.45.222:5555/rtp/239.3.1.64:8124
CCTV13,http://111.199.45.222:5555/rtp/239.3.1.124:8128
CCTV14,http://111.199.45.222:5555/rtp/239.3.1.65:8132
CCTV15,http://111.199.45.222:5555/rtp/239.3.1.153:8136
CCTV16,http://111.199.45.222:5555/rtp/239.3.1.184:8001
CCTV17,http://111.199.45.222:5555/rtp/239.3.1.151:8144
CCTV2,http://111.199.45.222:5555/rtp/239.3.1.60:8084
CCTV3,http://111.199.45.222:5555/rtp/239.3.1.172:8001
CCTV4,http://111.199.45.222:5555/rtp/239.3.1.105:8092
CCTV4,http://111.199.45.222:5555/rtp/239.3.1.213:4220
CCTV4,http://111.199.45.222:5555/rtp/239.3.1.214:4220
CCTV5,http://111.199.45.222:5555/rtp/239.3.1.130:8004
CCTV5,http://111.199.45.222:5555/rtp/239.3.1.173:8001
CCTV6,http://111.199.45.222:5555/rtp/239.3.1.174:8001
